Commodity,Date,Index Long,Index Short,Total OI,Price,Index Net,Nominal Net USD,Net Pct OI,Lot Size,Unit,Multiplier,GSCI Weight Pct,BCOM Weight Pct
BEAN OIL,2016-01-05,85149,4947,424762,29.79,80202,1433530548.0,18.881632537750555,60000,USc,600,0.0,7.6377
BEAN OIL,2016-01-12,83321,5798,443192,29.21,77523,1358668098.0,17.49196736403184,60000,USc,600,0.0,7.6377
BEAN OIL,2016-01-19,83647,8198,451196,29.96,75449,1356271224.0,16.722001081569875,60000,USc,600,0.0,7.6377
BEAN OIL,2016-01-26,82781,8456,450610,30.72,74325,1369958400.0,16.49430771620692,60000,USc,600,0.0,7.6377
BEAN OIL,2016-02-02,81029,5891,459602,30.78,75138,1387648584.0,16.348492826401976,60000,USc,600,0.0,7.6377
BEAN OIL,2016-02-09,83625,7679,460218,30.69,75946,1398469644.0000002,16.502179401935603,60000,USc,600,0.0,7.6377
BEAN OIL,2016-02-16,85943,9224,467318,31.62,76719,1455512868.0000002,16.41687245087927,60000,USc,600,0.0,7.6377
BEAN OIL,2016-02-23,85935,10421,446568,31.0,75514,1404560400.0,16.90985471417567,60000,USc,600,0.0,7.6377
BEAN OIL,2016-03-01,86313,10978,421163,30.54,75335,1380438540.0,17.887373772149974,60000,USc,600,0.0,7.6377
BEAN OIL,2016-03-08,86640,10966,424624,31.13,75674,1413438972.0,17.821413768416296,60000,USc,600,0.0,7.6377
BEAN OIL,2016-03-15,89020,13627,467437,32.48,75393,1469258783.9999998,16.12901845596305,60000,USc,600,0.0,7.6377
BEAN OIL,2016-03-22,89390,13240,507806,33.9,76150,1548891000.0,14.995884255010772,60000,USc,600,0.0,7.6377
BEAN OIL,2016-03-29,89921,13072,510217,34.04,76849,1569563976.0,15.062022629587018,60000,USc,600,0.0,7.6377
BEAN OIL,2016-04-05,92361,11785,543095,34.02,80576,1644717312.0000002,14.836446662186173,60000,USc,600,0.0,7.6377
BEAN OIL,2016-04-12,90174,10464,533999,33.8,79710,1616518800.0,14.926994245307576,60000,USc,600,0.0,7.6377
BEAN OIL,2016-04-19,90971,9848,555782,34.77,81123,1692388026.0000002,14.596190592714409,60000,USc,600,0.0,7.6377
BEAN OIL,2016-04-26,90371,10331,483471,34.22,80040,1643381280.0,16.555284598248914,60000,USc,600,0.0,7.6377
BEAN OIL,2016-05-03,91172,14207,461048,32.4,76965,1496199600.0,16.693489614964168,60000,USc,600,0.0,7.6377
BEAN OIL,2016-05-10,90686,15761,455419,33.44,74925,1503295200.0,16.451882771689366,60000,USc,600,0.0,7.6377
